bpgs_1.fits 	9-SGR 	O5
bpgs_2.fits 	9-SGE 	O8F
bpgs_3.fits 	HR8023 	O6
bpgs_4.fits 	BD-01D935 	B1V
bpgs_5.fits 	60-CYG 	B1V
bpgs_6.fits 	102-HER 	B2V
bpgs_7.fits 	ETA-HYA 	B3V
bpgs_8.fits 	IOTA-HER 	B3V
bpgs_9.fits 	HR7899 	B4V
bpgs_10.fits 	38-OPH 	A1V
bpgs_11.fits 	HR7174 	B6V
bpgs_12.fits 	9-VUL 	B7V
bpgs_13.fits 	HD189689 	B9V
bpgs_14.fits 	THETA-VIR 	A0V
bpgs_15.fits 	NU-CAP 	B9V
bpgs_16.fits 	HR6169 	A2V
bpgs_17.fits 	HD190849A 	A1V
bpgs_18.fits 	69-HER 	A2V
bpgs_19.fits 	HD190849B 	A3V
bpgs_20.fits 	58-AQL 	A0V
bpgs_21.fits 	78-HER 	B9V
bpgs_22.fits 	HR6570 	A7V
bpgs_23.fits 	HD187754 	A2V
bpgs_24.fits 	THETA1-SER 	A5V
bpgs_25.fits 	PRAESEPE-276 	 
bpgs_26.fits 	PRAESEPE-114 	 
bpgs_27.fits 	PRAESEPE-154 	 
bpgs_28.fits 	HD190192 	A5V
bpgs_29.fits 	PRAESEPE-226 	 
bpgs_30.fits 	PRAESEPE-37 	 
bpgs_31.fits 	HD191177 	F4V
bpgs_32.fits 	PRAESEPE-332 	 
bpgs_33.fits 	BD+29D3891 	F6V
bpgs_34.fits 	PRAESEPE-222 	 
bpgs_35.fits 	HD35296 	F8V
bpgs_36.fits 	BD+26D3780 	G0V
bpgs_37.fits 	HD148816 	F9V
bpgs_38.fits 	HD155675 	F8V
bpgs_39.fits 	PRAESEPE-418 	 
bpgs_40.fits 	HYAD-1 	 
bpgs_41.fits 	HD122693 	F8V
bpgs_42.fits 	HD154417 	F8V
bpgs_43.fits 	HYAD-2 	 
bpgs_44.fits 	HD227547 	G5V
bpgs_45.fits 	HD154760 	G2V
bpgs_46.fits 	HD190605 	G2V
bpgs_47.fits 	HYAD-15 	 
bpgs_48.fits 	HD139777A 	K0V
bpgs_49.fits 	HD136274 	G8V
bpgs_50.fits 	HYAD-26 	 
bpgs_51.fits 	HD150205 	G5V
bpgs_52.fits 	HYAD-21 	 
bpgs_53.fits 	BD+02D3001 	G8V
bpgs_54.fits 	HD190571 	G8V
bpgs_55.fits 	HYAD-183 	 
bpgs_56.fits 	HD190470 	K3V
bpgs_57.fits 	HD154712 	K4V
bpgs_58.fits 	HYAD-185 	 
bpgs_59.fits 	BD+38D2457 	K8V
bpgs_60.fits 	HYAD-173 	 
bpgs_61.fits 	GL40 	M0V
bpgs_62.fits 	HYAD-189 	 
bpgs_63.fits 	HD151288 	K7V
bpgs_64.fits 	HD157881 	K7V
bpgs_65.fits 	HD132683 	M0V
bpgs_66.fits 	GL15A 	M0V
bpgs_67.fits 	GL49 	M2V
bpgs_68.fits 	GL109 	M4V
bpgs_69.fits 	GL15B 	M6V
bpgs_70.fits 	GL83.1 	M8V
bpgs_71.fits 	GL65 	M5V
bpgs_72.fits 	HR7567 	B1IV
bpgs_73.fits 	HR7591 	B2III
bpgs_74.fits 	20-AQL 	B3IV
bpgs_75.fits 	HR7467 	B3III
bpgs_76.fits 	IOTA-LYR 	B7IV
bpgs_77.fits 	HR7346 	B7III
bpgs_78.fits 	59-HER 	A3III
bpgs_79.fits 	HR6642 	A0IV
bpgs_80.fits 	11-SGE 	B9IV
bpgs_81.fits 	60-HER 	A3IV
bpgs_82.fits 	HD192285 	A4IV
bpgs_83.fits 	ALPHA-OPH 	A5III
bpgs_84.fits 	HD165475B 	A5IV
bpgs_85.fits 	HD165475 	A5IV
bpgs_86.fits 	XI-SER 	F0IV
bpgs_87.fits 	HD5132 	F0IV
bpgs_88.fits 	HD508 	A9IV
bpgs_89.fits 	HD210875 	F0IV
bpgs_90.fits 	RHO-CAP 	F2IV
bpgs_91.fits 	HD7331 	F7IV
bpgs_92.fits 	BD+63D0013 	F5IV
bpgs_93.fits 	HD13391 	G2IV
bpgs_94.fits 	HD154962 	G8IV
bpgs_95.fits 	HD192344 	G4IV
bpgs_96.fits 	HR6516 	G6IV
bpgs_97.fits 	HR7670 	G6IV
